# AACR-Bench -> ReviewGate 评测清单
# 数据来源：阿里巴巴开源数据集 alibaba/aacr-bench
# 原始描述：200 real Pull Requests from 50 active open-source projects, 10 languages,
#          human-LLM collaborative annotation, 1,505 review comments as ground truth.
# 列（Tab 分隔）：repo	pr	source_commit	target_commit	label	language	category	change_line_count	note
# source_commit = PR base, target_commit = PR head
FreeCAD/FreeCAD	19411	0c65673a6fd2421be8fbe613116077120adea068	a050e422e23ce3eaee960b75ceff236b34f369b9	positive	C++	Code Refactoring / Architectural Improvement	862	C++ | Code Refactoring / Architectural Improvement | 19 comments
FreeCAD/FreeCAD	21257	17e56f6570a97aa9803b502b23cf27dc8be1da70	eb761fd69cf1fb9c674e385bb1d419814526ba5a	positive	C++	Bug Fix	672	C++ | Bug Fix | 19 comments
FreeCAD/FreeCAD	22744	ab225f5672cbe45404299437d1613c308b68900b	82fef4a22503dd3affdd39e7120b6f71e9423f86	positive	C++	Security Patches / Vulnerability Fixes	41	C++ | Security Patches / Vulnerability Fixes | 3 comments
FreeCAD/FreeCAD	20612	79008331b30d098b2c32e59752e24e0705b350bc	ec3da2e93e3fd8f69f113ca14abf892dfb86c11b	positive	C++	Code Refactoring / Architectural Improvement	80	C++ | Code Refactoring / Architectural Improvement | 3 comments
FreeCAD/FreeCAD	18688	abb50a4daa43abee9e6b263dd82e5e876c978c6a	a440ff7e4138c20ed2ac66977a199ebbf295e493	positive	C++	Documentation Update	297	C++ | Documentation Update | 6 comments
FreeCAD/FreeCAD	22235	730e07db5d2acafe7723eb89c83641375c375bc3	f8cd64328c49510285490dfd9872253ce7a53040	positive	C++	Documentation Update	85	C++ | Documentation Update | 6 comments
FreeCAD/FreeCAD	20336	16968aa3ee1bc7f2caf4ce592d13066aa8755a80	290bdc79d1ad92669431458a62205d694522586e	positive	C++	Bug Fix	98	C++ | Bug Fix | 8 comments
FreeCAD/FreeCAD	20825	01241245a1d92a8db69fab0db4c2053b5e1227c1	870d7f5385af5d377994479ce6ad017465bdad3d	positive	C++	New Feature Additions	776	C++ | New Feature Additions | 32 comments
FreeCAD/FreeCAD	19977	b59cd794274c8c007b2ef16c3a06fecf30c0aef1	39c5968bdc6c0b20d94d4a629cd43eafee1e56d0	positive	C++	Code Style, Linting, Formatting Fixes	306	C++ | Code Style, Linting, Formatting Fixes | 5 comments
FreeCAD/FreeCAD	20156	382720b82e4c6c81f7e1cdd3a33272047d7a3642	699b45c086f53858897aa8c688bbedaf570c644f	positive	C++	Code Style, Linting, Formatting Fixes	56	C++ | Code Style, Linting, Formatting Fixes | 16 comments
FreeCAD/FreeCAD	19426	f001b8a10ac2206458f7db457a45c9b2853e7bff	e59692501d1a08e7306189fed5c31b02553f7746	positive	C++	New Feature Additions	725	C++ | New Feature Additions | 23 comments
microsoft/typescript-go	1354	15def0236938e25ec7822755444f4d58c68045be	ae447d3b2a6db00072941e1992a09981b6096061	positive	Go	Code Refactoring / Architectural Improvement	176	Go | Code Refactoring / Architectural Improvement | 2 comments
microsoft/typescript-go	831	bc3195e0f2727d11a48ed9fc61f37a90c9b7deb4	b970689fe86e0b6ef4f5285b18343ddf16b294eb	positive	Go	Bug Fix	933	Go | Bug Fix | 15 comments
microsoft/typescript-go	1446	a9efe52c52001ea5b49d2ae8d7b0fa32ec8339f3	892b4a3f6b701352047ceb019fc0683ab1146bb3	positive	Go	Test Suite / CI Enhancements	80	Go | Test Suite / CI Enhancements | 13 comments
microsoft/typescript-go	691	da4e121142cd3f891785b573a194b9caaaa01d55	1a84d8d5705df98fd1e1f81d9d3115a7a203509d	positive	Go	Performance Optimizations	92	Go | Performance Optimizations | 3 comments
microsoft/typescript-go	1000	af2ba7365ad3e2f572ddb95a439b0220eccc06b1	45c0de96a08812aff07974b859bc2327e7fe25ed	positive	Go	New Feature Additions	47	Go | New Feature Additions | 1 comments
microsoft/typescript-go	698	3a3ff237cf7ad91bcdb604271f6135762aed9365	100dbc5127e723c4108efc02a179d9aec5fce32a	positive	Go	Documentation Update	829	Go | Documentation Update | 6 comments
PowerShell/PowerShell	24910	2259f56c0786574cbde8624d031e778028352372	ec952ce3b70c87885ed756ffca2bec128f07c51b	positive	C#	Bug Fix	23	C# | Bug Fix | 5 comments
PowerShell/PowerShell	25780	ce76ae1def6d5b00fff0d855ec01575121268ef3	ea07b93a40f64274505e3a070c1fd91684ff2959	positive	C#	Bug Fix	44	C# | Bug Fix | 4 comments
libsdl-org/SDL	12964	71303b41bf89c4bb68dbe1bed12fd2ee1dc0dd41	15267271865f73c996719238425f1604fc2fa205	positive	C	New Feature Additions	48	C | New Feature Additions | 7 comments
libsdl-org/SDL	12718	ab34ea5a2684766e510de1daf8ae44c41b6af704	96dfef35c4b0b89f2f8d9c2ecc4f5e3a25d3e7a0	positive	C	Bug Fix	161	C | Bug Fix | 8 comments
gofr-dev/gofr	1681	d0300073f685bb1154f7437f3172799d31bfddbe	c1a26ade6db7da96622c9bdca7674ef7094c122f	positive	Go	Bug Fix	217	Go | Bug Fix | 5 comments
gofr-dev/gofr	1617	ba0316277a22f508ed645951705f53d151552916	49ab39432cf4892ee84569099b8065dfe45fae92	positive	Go	Bug Fix	554	Go | Bug Fix | 5 comments
gofr-dev/gofr	1325	7f1760b083ea23ffd95fdf83467bdfa21735df81	b9cdcbb2b9fc78499d15d51ffbb7c861592b0efe	positive	Go	New Feature Additions	215	Go | New Feature Additions | 2 comments
gofr-dev/gofr	1355	44e3eeb2786ad4d333dc1f528fb104236693d060	dc0b3e630423b72cb9b2f273fdc18a5c11d12984	positive	Go	Security Patches / Vulnerability Fixes	309	Go | Security Patches / Vulnerability Fixes | 6 comments
gofr-dev/gofr	1395	c2ab1eb3308afa4f29842f0a982751bf65c059d0	2c0c0997cad66a1ee1e47f95db6a830394157c00	positive	Go	Test Suite / CI Enhancements	348	Go | Test Suite / CI Enhancements | 8 comments
gofr-dev/gofr	1696	de79ab765d0d34d78a42ebdd50a21a6f26841b7f	5e284aec0447be34c96a252e959067c8bcd9cd4c	positive	Go	New Feature Additions	356	Go | New Feature Additions | 4 comments
comfyanonymous/ComfyUI	7952	924d771e18000f4cb223575189daa6d2c6c5a9c1	4936d01872b8719ede33f9a11dc8e898c33d39e4	positive	Python	New Feature Additions	323	Python | New Feature Additions | 5 comments
